*用户名,*产品类别,,*原料成分,,"*主要用途 (可多选,用“|”分隔)",*货品名称,*适用季节,*成份及含量,纱支,密度,*幅宽(cm),克重(g/m²),染整工艺,,*图案一,,*图案二,,货号,颜色,*供货方式,*计量单位,*价格区间,,,,,,可售总量,发货天数,详细描述,信息有效期限,,商品图片
chinafabric,染色与整理类,染色+印花,混纺纤维,毛涤混纺,男装|女装,15,春季|夏季|秋季,羊毛30%丝10%涤纶30%,38/2S*38/2S,,150,390,印染工艺,常规染色,,,,,SC10A18082,,期货,米,1000,59,,,,,,,,,,SC10A18082_1.jpg
chinafabric,染色与整理类,染色+印花,再生纤维,天丝,男装|女装,tencel 彩虹纱单面布,春季|秋季,天丝/莱赛尔纤维|100.00,40S*40S,,67,85,印染工艺,常规染色,,,,,SC10426101,,期货,米,1000,0,,,,,,,,,,SC10426101_1.JPG
chinafabric,染色与整理类,染色+印花,天然纤维,棉,男装|女装,杨梅皮,春季|夏季|秋季,棉 80% 涂层 20%,40S*40S,,147,182,印染工艺,常规染色,,,,,HM1020100010,,期货,米,1000,0,,,,,,,,,,4f3c9d6e62dc1.jpg
chinafabric,染色与整理类,染色+印花,天然纤维,羊毛,男装|女装,12支空气纱双面呢,春季|夏季|秋季,羊毛 81% 锦纶 19%,1/12N+1/12N+2/72N*1/12N+1/12N+2/72N,,135,400,印染工艺,常规染色,,,,,HM1019800007,,期货,米,1000,0,,,,,,,,,,4f45dc0266f19.jpg
chinafabric,染色与整理类,染色+印花,混纺纤维,棉粘混纺,男装|女装,丝绸之路,春季|夏季,粘胶 55% 棉 45%,120D40S/2,,147,199,印染工艺,常规染色,,,,,HM1019400001,,期货,米,1000,0,,,,,,,,,,4f41dd7b61e99.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,涤纶,男装|女装,可可奶茶,春季|夏季,涤纶 100%,50D*50D,,137,110,印染工艺,常规染色,,,,,HM1019300006,,期货,米,1000,0,,,,,,,,,,4f4333b86e21d.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,男装|女装,拇指纹,春季|夏季,锦纶 100%,50D*50D,,137,95,印染工艺,常规染色,,,,,HM1019300003,,期货,米,1000,0,,,,,,,,,,4f4333a0637ee.jpg
chinafabric,染色与整理类,染色+印花,再生纤维,粘胶,男装|女装,落叶,春季|夏季,粘胶 100%,120D*50S,,145,100,印染工艺,常规染色,,,,,HM1019000009,,期货,米,1000,0,,,,,,,,,,4f3c97760c445.jpg
chinafabric,染色与整理类,染色+印花,再生纤维,粘胶,男装|女装,暗香,春季|夏季,粘胶 100%,60S*60S,,145,104,印染工艺,常规染色,,,,,HM1019000006,,期货,米,1000,0,,,,,,,,,,4f45dbb938273.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,涤纶,女装,蛇皮纹面料,春季|夏季,涤纶 100%,50D*50D,,148,80,印染工艺,常规染色,,,,,HM1018900011,,期货,米,1000,0,,,,,,,,,,4f45dc73aa936.jpg
chinafabric,染色与整理类,染色+印花,天然纤维,真丝,女装,,春季|夏季,100%SILK,,,115.5,10,印染工艺,常规染色,,,,,HM1018800007,,期货,米,1000,0,,,,,,,,,,LA1018800007.jpg
chinafabric,染色与整理类,染色+印花,天然纤维,真丝,女装,,春季|夏季,"67%SILK,29%L,4%SPAN",,,108,24,印染工艺,常规染色,,,,,HM1018800006,,期货,米,1000,0,,,,,,,,,,LA1018800006.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,星河点,秋季|冬季,涤纶 63% 粘胶 37%,75D+100D*100D+120D,,182,96,印染工艺,常规染色,,,,,HM1018700012,,期货,米,1000,0,,,,,,,,,,4f41ded49c719.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,涤纶,羽绒服,白蚁上树,秋季|冬季,涤纶 100%,50D*50D,,147,90,印染工艺,常规染色,,,,,HM1018500012,,期货,米,1000,0,,,,,,,,,,4f45db988b85b.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,涤纶,羽绒服,浪里淘沙,秋季|冬季,涤纶 100%,50D*50D,,147,101,印染工艺,常规染色,,,,,HM1018500010,,期货,米,1000,0,,,,,,,,,,4f45dd0dcdf29.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,420T/平纹15D,秋季|冬季,锦纶100%,15D*15D,,152,28,印染工艺,常规染色,,,,,HM1018400122,,期货,米,3000,17.83,,,,,,,,,,FCEC1018400122.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,210T尼龙,秋季|冬季,锦纶98% 涂层2%,70D*70D,,152,65,印染工艺,常规染色,,,,,HM1018400121,,期货,米,1000,13.3,,,,,,,,,,FCEC1018400121.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,310T尼龙,秋季|冬季,锦纶68% 涂层32%,40D*40D,,152,82,印染工艺,常规染色,,,,,HM1018400120,,期货,米,1000,16.6,,,,,,,,,,FCEC1018400120.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,350T尼龙,秋季|冬季,锦纶98% 涂层2%,40D*40D,,152,68,印染工艺,常规染色,,,,,HM1018400118,,期货,米,1000,17.06,,,,,,,,,,FCEC1018400118.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,310T/2\1斜尼丝纺(左),秋季|冬季,锦纶92% 涂层8%,40D*40D,,152,62,印染工艺,常规染色,,,,,HM1018400117,,期货,米,1000,16.6,,,,,,,,,,FCEC1018400117.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,310T尼龙,秋季|冬季,锦纶89% 涂层11%,40D*40D,,152,63,印染工艺,常规染色,,,,,HM1018400116,,期货,米,1000,16.6,,,,,,,,,,FCEC1018400116.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,300T提花,秋季|冬季,锦纶95% 涂层5%,40D*40D,,152,56,印染工艺,常规染色,,,,,HM1018400115,,期货,米,1000,15.95,,,,,,,,,,FCEC1018400115.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,消光菱形尼龙提花格,秋季|冬季,锦纶82% 涂层18%,140D*200D,,152,153,印染工艺,常规染色,,,,,HM1018400114,,期货,米,3000,26.44,,,,,,,,,,FCEC1018400114.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,440T/0.06格子,秋季|冬季,锦纶100%,15D*15D,,152,29,印染工艺,常规染色,,,,,HM1018400113,,期货,米,3000,21.55,,,,,,,,,,FCEC1018400113.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,320T/2/2消光斜纹尼龙,秋季|冬季,锦纶95% 涂层5%,70D*70D,,152,106,印染工艺,常规染色,,,,,HM1018400112,,期货,米,1000,18.94,,,,,,,,,,FCEC1018400112.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,300T提花,秋季|冬季,锦纶87% 涂层13%,30D*30D,,152,47,印染工艺,常规染色,,,,,HM1018400111,,期货,米,1000,16.34,,,,,,,,,,FCEC1018400111.jpg
chinafabric,染色与整理类,染色+印花,化学纤维,锦纶,羽绒服,210D*210D尼龙黑丝牛津,秋季|冬季,锦纶86% 涂层14%,200D*200D,,152,169,印染工艺,常规染色,,,,,HM1018400110,,期货,米,1000,25.75,,,,,,,,,,FCEC1018400110.jpg
